unitdid,opeid,Graduation_Rate,GR_Group_Low,GR_Group_LowToMedium,GR_Group_MediumToHigh,GR_Group_High,School_CDR,National_Average_CDR,Median_Total_Borrowing,Median_Monthly_Payment,Institution_Group
228431,00362400,44,0,37.3,56.7,100,14.4,13.4,16583,190.84,1
228459,00361500,55.5,0,37.3,56.7,100,5.8,13.4,18750,215.78,1
228468,00361900,37.9,0,37.3,56.7,100,15.1,13.4,17500,201.39,1
228486,00361800,-2,0,17.7,32.2,100,43.1,13.4,3500,40.28,2
228501,00362500,23.5,0,37.3,56.7,100,15.4,13.4,11324,130.32,1
228529,00363100,39.2,0,37.3,56.7,100,11.3,13.4,16000,184.13,1
228547,00362600,8.8,0,17.7,32.2,100,16.3,13.4,3703,42.61,2
228608,00362700,7.9,0,17.7,32.2,100,23.9,13.4,8133,93.59,2
228635,01001900,-2,0,37.3,56.7,100,0.9,13.4,14500,166.87,1
228644,00365900,-2,0,37.3,56.7,100,2.9,13.4,15000,172.62,1
228653,00495200,-2,0,37.3,56.7,100,1.2,13.4,17625,202.83,1
228680,00363400,22,0,17.7,32.2,100,29.6,13.4,10000,115.08,2
228699,00362800,9.7,0,24.1,50.1,100,0,13.4,,,3
228705,00363900,32.5,0,37.3,56.7,100,17.4,13.4,11616,133.68,1
228714,00363204,29.3,0,37.3,56.7,100,5,13.4,18519,213.12,1
228723,00363200,80.7,0,37.3,56.7,100,5,13.4,18519,213.12,1
228769,00365600,40.3,0,37.3,56.7,100,9.5,13.4,12500,143.85,1
228778,00365800,80.9,0,37.3,56.7,100,4.7,13.4,22673,260.92,1
228787,00974100,60.8,0,37.3,56.7,100,7.5,13.4,18169,209.09,1
228796,00366100,37,0,37.3,56.7,100,11.6,13.4,15000,172.62,1
228802,01116300,40.1,0,37.3,56.7,100,11.8,13.4,15106,173.84,1
228866,00363500,-2,0,0,0,0,7.5,13.4,8563,98.54,4
228875,00363600,73.8,0,37.3,56.7,100,6.1,13.4,24469,281.59,1
228884,00363800,6.4,0,37.3,56.7,100,38.2,13.4,10875,125.15,1
228909,00976800,-3,0,0,0,0,0.4,13.4,,,4
228981,00364100,49.1,0,37.3,56.7,100,6.5,13.4,21000,241.67,1
229018,00993000,33.7,0,37.3,56.7,100,16.1,13.4,10000,115.08,1
229027,01011500,27.2,0,37.3,56.7,100,11.1,13.4,16166,186.04,1
229036,02312200,-2,0,24.1,50.1,100,30.5,13.4,9252,106.47,3
229063,00364200,11.8,0,37.3,56.7,100,23.9,13.4,19000,218.65,1
229115,00364400,61.4,0,37.3,56.7,100,7.5,13.4,19625,225.85,1
229151,02254800,77.7,0,62.5,77.6,100,23.3,13.4,4000,46.03,5
229160,00364500,36.8,0,37.3,56.7,100,6.8,13.4,27750,319.35,1
229179,00364600,39.3,0,37.3,56.7,100,8.1,13.4,15430,177.57,1
229267,00364700,79.9,0,37.3,56.7,100,3.6,13.4,22710,261.35,1
229300,00495100,-2,0,37.3,56.7,100,2.1,13.4,14311,164.69,1
229319,00922500,27.1,0,17.7,32.2,100,24.8,13.4,4334,49.88,2
229328,00993200,30.4,0,17.7,32.2,100,24.2,13.4,9147,105.26,2
229337,01067400,-2,0,37.3,56.7,100,2.4,13.4,12500,143.85,1
229355,00364800,12.2,0,17.7,32.2,100,24,13.4,6847,78.8,2
229416,02362000,58.2,0,62.5,77.6,100,16.4,13.4,17632,202.91,5
229425,02285900,78.3,0,62.5,77.6,100,25.2,13.4,6265,72.1,5
229504,01006000,33,0,24.1,50.1,100,19.8,13.4,6519,75.02,3
229522,01202000,83.3,0,62.5,77.6,100,12,13.4,2350,27.04,5
229540,00366200,13.4,0,17.7,32.2,100,21.2,13.4,9334,107.42,2
229638,03731300,70.8,0,62.5,77.6,100,,13.4,1750,20.14,5
229780,00366300,37.4,0,37.3,56.7,100,12.5,13.4,13891,159.86,1
229799,00366400,15.1,0,17.7,32.2,100,19.8,13.4,6839,78.7,2
229814,00366500,42.1,0,37.3,56.7,100,11.1,13.4,14300,164.56,1
229832,00954900,48.3,0,24.1,50.1,100,25.7,13.4,5260,60.53,3
229841,00366800,16.5,0,17.7,32.2,100,18.9,13.4,5615,64.62,2
229887,00366900,17.8,0,37.3,56.7,100,24.3,13.4,13978,160.86,1
229957,02270800,78.6,0,62.5,77.6,100,6.9,13.4,15750,181.25,5
230010,02115400,51.6,0,62.5,77.6,100,,13.4,,,5
230038,00367000,77.5,0,37.3,56.7,100,0.9,13.4,10920,125.67,1
230047,00160600,51,0,37.3,56.7,100,6.7,13.4,5625,64.73,1
230056,01116600,39.4,0,17.7,32.2,100,19.3,13.4,16041,184.6,2
230065,03921300,77.5,0,62.5,77.6,100,8.7,13.4,6090,70.08,5
230092,00367600,32.3,0,17.7,32.2,100,,13.4,,,2
230135,00943300,94.6,0,62.5,77.6,100,20,13.4,4300,49.48,5
230144,02078800,89.5,0,62.5,77.6,100,14.2,13.4,4325,49.77,5
230162,02156600,-2,0,24.1,50.1,100,0,13.4,,,3
230171,00367100,28,0,17.7,32.2,100,11,13.4,8835,101.67,2
230199,02573100,74.4,0,62.5,77.6,100,13.3,13.4,4418,50.84,5
230205,02572700,94.4,0,62.5,77.6,100,0,13.4,,,5
230214,02556800,69.3,0,62.5,77.6,100,12.6,13.4,12000,138.1,5
230223,02557700,9.5,0,62.5,77.6,100,,13.4,,,5
230366,02178500,57.7,0,24.1,50.1,100,23.8,13.4,12798,147.28,3
230384,00732953,24.8,0,17.7,32.2,100,34.1,13.4,16500,189.88,2
230418,00367200,25.9,0,17.7,32.2,100,6.7,13.4,4500,51.79,2
230472,02298500,46.1,0,24.1,50.1,100,30,13.4,9500,109.33,3
230490,02346500,21,0,62.5,77.6,100,0,13.4,,,5
230597,00367900,32.4,0,17.7,32.2,100,8.6,13.4,3500,40.28,2
230603,00367800,34.6,0,37.3,56.7,100,5,13.4,8250,94.94,1
