ZIP,BAH,Terroritory,MHA
10536,2490,,NY349
10537,2490,,NY349
10538,2490,,NY349
10540,2490,,NY349
10541,2490,,NY349
10542,2490,,NY349
10543,2490,,NY349
10545,2490,,NY349
10546,2490,,NY349
10547,2490,,NY349
10548,2490,,NY349
10549,2490,,NY349
10550,2490,,NY349
10551,2490,,NY349
10552,2490,,NY349
10553,2490,,NY349
10560,2490,,NY349
10562,2490,,NY349
10566,2490,,NY349
10567,2490,,NY349
10570,2490,,NY349
10573,2490,,NY349
10576,2490,,NY349
10577,2490,,NY349
10578,2490,,NY349
10579,2490,,NY349
10580,2490,,NY349
10583,2490,,NY349
10587,2490,,NY349
10588,2490,,NY349
10589,2490,,NY349
10590,2490,,NY349
10591,2490,,NY349
10594,2490,,NY349
10595,2490,,NY349
10596,2490,,NY349
10597,2490,,NY349
10598,2490,,NY349
10601,2490,,NY349
10602,2490,,NY349
10603,2490,,NY349
10604,2490,,NY349
10605,2490,,NY349
10606,2490,,NY349
10607,2490,,NY349
10610,2490,,NY349
10701,2490,,NY349
10702,2490,,NY349
10703,2490,,NY349
10704,2490,,NY349
10705,2490,,NY349
10706,2490,,NY349
10707,2490,,NY349
10708,2490,,NY349
10709,2490,,NY349
10710,2490,,NY349
10801,2490,,NY349
10802,2490,,NY349
10803,2490,,NY349
10804,2490,,NY349
10805,2490,,NY349
10901,2295,,NY217
10910,2295,,NY217
