ZIP,BAH,Terroritory,MHA
13839,1056,,ZZ640
13840,1380,,NY226
13841,1086,,ZZ660
13842,1056,,ZZ640
13843,1086,,ZZ660
13844,1086,,ZZ660
13845,1380,,NY226
13846,1056,,ZZ640
13847,1056,,ZZ640
13848,1380,,NY226
13849,1218,,ZZ740
13850,1380,,NY226
13851,1380,,NY226
13856,1056,,ZZ640
13859,1218,,ZZ740
13860,1056,,ZZ640
13861,1218,,ZZ740
13862,1380,,NY226
13863,1104,,ZZ670
13864,1380,,NY226
13865,1380,,NY226
13901,1380,,NY226
13902,1380,,NY226
13903,1380,,NY226
13904,1380,,NY226
13905,1380,,NY226
14001,1410,,NY216
14004,1410,,NY216
14005,1137,,ZZ690
14006,1410,,NY216
14008,1410,,NY216
14009,1104,,ZZ670
14010,1410,,NY216
14011,1104,,ZZ670
14012,1410,,NY216
14013,1137,,ZZ690
14020,1137,,ZZ690
14021,1137,,ZZ690
14024,1104,,ZZ670
14025,1410,,NY216
14026,1410,,NY216
14027,1410,,NY216
14028,1410,,NY216
14029,1038,,ZZ630
14030,1410,,NY216
14031,1410,,NY216
14032,1410,,NY216
14033,1410,,NY216
14034,1410,,NY216
14035,1410,,NY216
14036,1137,,ZZ690
14037,1104,,ZZ670
14038,1410,,NY216
14039,1104,,ZZ670
14040,1137,,ZZ690
14041,1086,,ZZ660
14042,1086,,ZZ660
14043,1410,,NY216
14047,1410,,NY216
14048,1071,,ZZ650
14051,1410,,NY216
14052,1410,,NY216
14054,1137,,ZZ690
14055,1410,,NY216
14056,1137,,ZZ690
14057,1410,,NY216
14058,1137,,ZZ690
14059,1410,,NY216
14060,1086,,ZZ660
14061,1410,,NY216
14062,1071,,ZZ650
14063,1071,,ZZ650
14065,1086,,ZZ660
14066,1104,,ZZ670
14067,1410,,NY216
14068,1410,,NY216
14069,1410,,NY216
14070,1086,,ZZ660
14072,1410,,NY216
14075,1410,,NY216
14080,1410,,NY216
14081,1410,,NY216
14082,1104,,ZZ670
14083,1104,,ZZ670
14085,1410,,NY216
14086,1410,,NY216
14091,1410,,NY216
14092,1410,,NY216
14094,1410,,NY216
14095,1410,,NY216
14098,1233,,ZZ750
14101,1086,,ZZ660
14102,1410,,NY216
14103,1233,,ZZ750
14105,1410,,NY216
14107,1410,,NY216
14108,1410,,NY216
14109,1410,,NY216
14110,1410,,NY216
14111,1410,,NY216
14112,1410,,NY216
14113,1104,,ZZ670
14120,1410,,NY216
14125,1137,,ZZ690
14126,1410,,NY216
14127,1410,,NY216
14129,1086,,ZZ660
14130,1104,,ZZ670
14131,1410,,NY216
14132,1410,,NY216
14133,1086,,ZZ660
14134,1410,,NY216
14135,1071,,ZZ650
14136,1071,,ZZ650
14138,1086,,ZZ660
14139,1410,,NY216
14140,1410,,NY216
14141,1410,,NY216
14143,1137,,ZZ690
14144,1410,,NY216
14145,1104,,ZZ670
14150,1410,,NY216
14151,1410,,NY216
14166,1071,,ZZ650
14167,1104,,ZZ670
14168,1086,,ZZ660
14169,1410,,NY216
14170,1410,,NY216
14171,1086,,ZZ660
14172,1410,,NY216
14173,1086,,ZZ660
14174,1410,,NY216
14201,1410,,NY216
14202,1410,,NY216
14203,1410,,NY216
14204,1410,,NY216
14205,1410,,NY216
14206,1410,,NY216
14207,1410,,NY216
14208,1410,,NY216
14209,1410,,NY216
14210,1410,,NY216
14211,1410,,NY216
14212,1410,,NY216
14213,1410,,NY216
14214,1410,,NY216
14215,1410,,NY216
14216,1410,,NY216
14217,1410,,NY216
14218,1410,,NY216
14219,1410,,NY216
14220,1410,,NY216
14221,1410,,NY216
14222,1410,,NY216
14223,1410,,NY216
14224,1410,,NY216
14225,1410,,NY216
14226,1410,,NY216
14227,1410,,NY216
14228,1410,,NY216
14231,1410,,NY216
14233,1410,,NY216
14240,1410,,NY216
14241,1410,,NY216
14260,1410,,NY216
14261,1410,,NY216
14263,1410,,NY216
14264,1410,,NY216
14265,1410,,NY216
14267,1410,,NY216
14269,1410,,NY216
14270,1410,,NY216
14272,1410,,NY216
14273,1410,,NY216
14276,1410,,NY216
14280,1410,,NY216
14301,1410,,NY216
14302,1410,,NY216
14303,1410,,NY216
14304,1410,,NY216
14305,1410,,NY216
14410,1344,,NY221
14411,1233,,ZZ750
14413,1233,,ZZ750
14414,1233,,ZZ750
14415,1086,,ZZ660
14416,1137,,ZZ690
14418,1086,,ZZ660
14420,1344,,NY221
14422,1137,,ZZ690
14423,1233,,ZZ750
14424,1344,,NY221
14425,1344,,NY221
14427,1104,,ZZ670
14428,1344,,NY221
14429,1233,,ZZ750
14430,1344,,NY221
14432,1344,,NY221
14433,1233,,ZZ750
14435,1233,,ZZ750
14437,1233,,ZZ750
14441,1086,,ZZ660
14443,1344,,NY221
14445,1344,,NY221
14449,1233,,ZZ750
14450,1344,,NY221
14452,1233,,ZZ750
14453,1344,,NY221
14454,1233,,ZZ750
14456,1344,,NY221
14461,1344,,NY221
14462,1233,,ZZ750
14463,1344,,NY221
14464,1344,,NY221
14466,1344,,NY221
14467,1344,,NY221
14468,1344,,NY221
14469,1344,,NY221
14470,1233,,ZZ750
14471,1344,,NY221
14472,1344,,NY221
14475,1344,,NY221
14476,1233,,ZZ750
14477,1233,,ZZ750
14478,1086,,ZZ660
14479,1233,,ZZ750
14480,1233,,ZZ750
14481,1233,,ZZ750
14482,1137,,ZZ690
14485,1233,,ZZ750
14486,1137,,ZZ690
14487,1233,,ZZ750
14488,1233,,ZZ750
14489,1233,,ZZ750
14502,1233,,ZZ750
14504,1344,,NY221
14505,1233,,ZZ750
14506,1344,,NY221
14507,1086,,ZZ660
